,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
Cabo Verde,242230.0,249898.0,257557.0,265080.0,272503.0,279858.0,287218.0,294553.0,301786.0,308827.0,315154.0,318744.0,321615.0,324326.0,326915.0,329469.0,332053.0,334719.0,337478.0,340311.0,343044.0,346682.0,211087.0,210395.0,209489.0,208303.0,206867.0,205257.0,203510.0,201637.0,199569.0,197314.0,194630.0,192703.0,190340.0,187899.0,185411.0,182925.0,180501.0,178174.0,175937.0,173793.0,171635.0,169967.0
Cambodia,2316250.0,2367516.0,2419356.0,2471462.0,2523783.0,2576833.0,2631378.0,2687103.0,2750406.0,2845368.0,2942777.0,3042128.0,3143998.0,3248700.0,3356342.0,3466487.0,3579880.0,3693661.0,3806285.0,3923374.0,4052917.0,4187222.0,10146086.0,10290968.0,10435885.0,10579506.0,10720948.0,10862369.0,11007650.0,11154667.0,11303073.0,11431442.0,11557949.0,11680456.0,11801087.0,11921508.0,12040430.0,12156764.0,12272923.0,12379711.0,12468237.0,12557930.0,12672557.0,12787083.0
Cameroon,6791510.0,7063646.0,7349797.0,7649982.0,7963067.0,8288179.0,8624797.0,8979101.0,9352037.0,9739334.0,10140658.0,10553979.0,10980980.0,11423090.0,11907048.0,12423816.0,12941771.0,13458210.0,13984350.0,14530312.0,15086797.0,15650975.0,8121121.0,8245844.0,8375731.0,8510358.0,8647420.0,8786415.0,8925610.0,9070795.0,9222019.0,9374640.0,9527408.0,9678325.0,9828549.0,9979286.0,10152845.0,10339598.0,10512390.0,10670391.0,10822033.0,10975783.0,11123761.0,11264783.0
Canada,24388404.0,24757744.0,25052237.0,25303527.0,25565418.0,25833522.0,26126331.0,26441349.0,26790008.0,27158971.0,27523357.0,27847735.0,28165407.0,28478048.0,28778840.0,29013118.0,29358083.0,29729419.0,30181191.0,30652302.0,31016918.0,31223996.0,6297326.0,6263111.0,6306962.0,6338934.0,6373389.0,6409210.0,6444862.0,6447537.0,6457290.0,6471098.0,6482545.0,6491486.0,6547988.0,6602944.0,6655226.0,6691380.0,6752720.0,6815656.0,6891429.0,6966193.0,7011720.0,7015868.0
Cayman Islands,39674.0,41089.0,42514.0,43934.0,45352.0,46788.0,48232.0,49687.0,51151.0,52618.0,54099.0,55606.0,57136.0,58655.0,60160.0,61642.0,63100.0,64535.0,65941.0,67327.0,68684.0,70108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,1442859.0,1478430.0,1514377.0,1554413.0,1591848.0,1632707.0,1671929.0,1710981.0,1755482.0,1752469.0,1747955.0,1786521.0,1816121.0,1841323.0,1847377.0,1864551.0,1914596.0,1964381.0,2018008.0,2065402.0,2121136.0,2180208.0,2390557.0,2441057.0,2491700.0,2548673.0,2600978.0,2656103.0,2705650.0,2751789.0,2803502.0,2776578.0,2745040.0,2778500.0,2794727.0,2801096.0,2775805.0,2764769.0,2799067.0,2829130.0,2860649.0,2879301.0,2905492.0,2931892.0
Chad,1841762.0,1907854.0,1978396.0,2062181.0,2159393.0,2251627.0,2337641.0,2423337.0,2513424.0,2608776.0,2706920.0,2812987.0,2925179.0,3045991.0,3174291.0,3297912.0,3427550.0,3571050.0,3725534.0,3884153.0,4051245.0,4239742.0,6670331.0,6896270.0,7137796.0,7425652.0,7760643.0,8076465.0,8368783.0,8658323.0,8962872.0,9284978.0,9605655.0,9942010.0,10285819.0,10645088.0,11014387.0,11349709.0,11687105.0,12051709.0,12430997.0,12801070.0,13173434.0,13588531.0
Chile,13344444.0,13545043.0,13733915.0,13887851.0,14038455.0,14187960.0,14336915.0,14487604.0,14643016.0,14801358.0,14960588.0,15118984.0,15274745.0,15431205.0,15595978.0,15766405.0,15969570.0,16237154.0,16543634.0,16825479.0,16993267.0,17085969.0,2159191.0,2138806.0,2124010.0,2136901.0,2148867.0,2160818.0,2172280.0,2183977.0,2195972.0,2208373.0,2220876.0,2232832.0,2244374.0,2255801.0,2268217.0,2281220.0,2297651.0,2321714.0,2349557.0,2372265.0,2377357.0,2370365.0
China,452999147.0,471767321.0,491993700.0,512473984.0,533257098.0,554367818.0,575118254.0,595670841.0,616481190.0,637407288.0,658498663.0,679390629.0,700996454.0,722694421.0,744357517.0,765822300.0,787376534.0,809246214.0,829760595.0,848982855.0,866810508.0,882894483.0,809645853.0,800082679.0,788406300.0,775926016.0,762817902.0,749352182.0,735901746.0,722214159.0,708173810.0,693852712.0,679206337.0,665644371.0,653193546.0,640545579.0,627502483.0,614037700.0,600413466.0,586968786.0,572999405.0,558762145.0,544289492.0,529465517.0
Colombia,28909742.0,29535352.0,30161651.0,30789450.0,31414946.0,32028133.0,32625807.0,33211685.0,33783550.0,34348961.0,34910189.0,35454119.0,35978800.0,36487904.0,36979935.0,37465103.0,38001242.0,38719527.0,39600982.0,40477372.0,41225475.0,41841213.0,10180192.0,10173910.0,10163029.0,10147979.0,10128225.0,10100844.0,10065277.0,10023689.0,9975258.0,9922580.0,9867130.0,9805495.0,9737010.0,9663680.0,9585494.0,9504837.0,9436270.0,9411551.0,9423483.0,9430613.0,9404522.0,9346960.0
